latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.55993,-48.348,300.56,1.35,1.15,2026-06-04,0646,A,30,6.1NRT,290.24,7.35,N
-11.63291,-55.18016,306.71,1.35,1.15,2026-06-04,0646,A,69,6.1NRT,291.56,10.98,N
-12.21025,-57.29533,302.58,1.87,1.34,2026-06-04,0646,A,50,6.1NRT,290.88,13.56,N
-12.21303,-57.2787,332.28,1.87,1.34,2026-06-04,0646,A,100,6.1NRT,293.88,81.68,N
-12.2247,-57.28078,331.75,1.87,1.34,2026-06-04,0646,A,100,6.1NRT,291.49,78.1,N
-12.22745,-57.2643,315.14,1.86,1.33,2026-06-04,0646,A,91,6.1NRT,291.88,33.78,N
-12.20735,-57.28475,314.36,1.87,1.34,2026-06-04,0646,A,89,6.1NRT,292.15,32.12,N
-12.21901,-57.28683,326.57,1.87,1.34,2026-06-04,0646,A,100,6.1NRT,291.69,61.9,N
-12.2219,-57.27033,335.25,1.86,1.33,2026-06-04,0646,A,100,6.1NRT,293.84,90.29,N
-12.45889,-58.46667,310.57,2.29,1.46,2026-06-04,0646,A,80,6.1NRT,290.53,38.43,N
-12.45919,-58.47165,308.35,2.29,1.46,2026-06-04,0646,A,74,6.1NRT,290.27,33.01,N
-14.06215,-53.39475,301.96,1.04,1.02,2026-06-04,0646,A,18,6.1NRT,288.93,5.33,N
-14.08145,-53.38831,324.25,1.04,1.02,2026-06-04,0646,A,100,6.1NRT,290,24.35,N
-14.08291,-53.37901,306.93,1.04,1.02,2026-06-04,0646,A,70,6.1NRT,289.54,8.73,N
-16.79923,-54.16659,310.37,1.05,1.02,2026-06-04,0646,A,80,6.1NRT,292.4,10.92,N
-16.18111,-58.4683,304.01,1.93,1.36,2026-06-04,0646,A,58,6.1NRT,289.67,17.51,N
-17.48783,-59.53871,307.54,2.19,1.43,2026-06-04,0646,A,35,6.1NRT,288.44,26.7,N
-17.49151,-59.51894,337.16,2.18,1.43,2026-06-04,0646,A,100,6.1NRT,292.13,124.91,N
-17.49516,-59.49932,309.83,2.17,1.43,2026-06-04,0646,A,56,6.1NRT,289.44,31.5,N
-18.1319,-59.40659,302.47,2.07,1.4,2026-06-04,0646,A,49,6.1NRT,285.97,21.21,N
-18.13352,-59.4141,300.08,2.07,1.4,2026-06-04,0646,A,15,6.1NRT,285.74,17.48,N
-18.53178,-58.58567,300.61,1.77,1.3,2026-06-04,0646,A,29,6.1NRT,288.32,12.73,N
11.74181,-70.19464,321.7,1.03,1.01,2026-06-04,0818,A,100,6.1NRT,291.45,18.71,N
11.74041,-70.18553,308.27,1.03,1.01,2026-06-04,0818,A,73,6.1NRT,291.16,7.06,N
11.6355,-70.22652,304.53,1.03,1.01,2026-06-04,0818,A,60,6.1NRT,292.37,4.07,N
-3.99122,-47.93401,320.77,1.28,1.12,2026-06-04,1212,T,78,6.1NRT,293.21,20.67,D
-3.99277,-47.92284,312.04,1.29,1.13,2026-06-04,1212,T,67,6.1NRT,293.27,9.78,D
-5.11419,-46.96175,308.51,1.55,1.23,2026-06-04,1212,T,58,6.1NRT,291.63,8.06,D
-5.11602,-46.94803,324.36,1.56,1.23,2026-06-04,1212,T,81,6.1NRT,292.51,34.58,D
-6.39858,-44.83597,308.63,2.4,1.49,2026-06-04,1212,T,53,6.1NRT,292.14,15.42,D
-13.96291,-53.84649,310.53,1.01,1.01,2026-06-04,1214,T,51,6.1NRT,297.01,6.27,D
-6.99368,-42.87223,309.59,3.53,1.77,2026-06-04,1212,T,43,6.1NRT,291.77,30.16,D
-14.08532,-53.389,330.65,1,1,2026-06-04,1214,T,86,6.1NRT,296.62,27.06,D
-6.9892,-42.87865,310.9,3.53,1.77,2026-06-04,1212,T,61,6.1NRT,291.96,37.96,D
-14.08662,-53.37996,309.22,1,1,2026-06-04,1214,T,55,6.1NRT,294.71,6.42,D
-6.75529,-45.00999,310.8,2.35,1.48,2026-06-04,1212,T,56,6.1NRT,294.6,18.17,D
-15.408,-51.06761,324.55,1.16,1.07,2026-06-04,1214,T,81,6.1NRT,298.05,23.49,D
-6.7683,-45.01175,314.54,2.35,1.48,2026-06-04,1212,T,69,6.1NRT,294.1,28.08,D
-15.40937,-51.0571,322.14,1.16,1.07,2026-06-04,1214,T,79,6.1NRT,297.25,20.7,D
-6.57186,-51.09783,317.28,1.01,1,2026-06-04,1212,T,72,6.1NRT,293.4,11.43,D
-16.84304,-53.82997,306.52,1,1,2026-06-04,1214,T,60,6.1NRT,294.42,5.55,D
-6.58069,-51.09903,313.36,1.01,1,2026-06-04,1212,T,50,6.1NRT,294.35,7.71,D
-16.55134,-59.29955,302.67,1.86,1.33,2026-06-04,1214,T,51,6.1NRT,292.47,9.51,D
-7.00078,-50.47057,311.61,1.04,1.02,2026-06-04,1212,T,62,6.1NRT,296.97,6.6,D
-16.54931,-59.28775,303.06,1.86,1.33,2026-06-04,1214,T,25,6.1NRT,292.4,9.5,D
-7.7641,-47.5903,308.76,1.53,1.22,2026-06-04,1214,T,55,6.1NRT,294.06,8.16,D
-18.07864,-52.63988,310.85,1.05,1.02,2026-06-04,1217,T,71,6.1NRT,295.67,8.58,D
-8.39402,-46.88077,309.67,1.77,1.3,2026-06-04,1214,T,64,6.1NRT,290.49,13.69,D
-18.187,-52.18157,331.24,1.09,1.04,2026-06-04,1217,T,87,6.1NRT,293.19,33.96,D
-8.40545,-46.88253,311.83,1.77,1.3,2026-06-04,1214,T,68,6.1NRT,290.77,17.72,D
-17.49662,-59.50578,318.27,1.85,1.33,2026-06-04,1217,T,73,6.1NRT,294.63,35.42,D
-8.40328,-46.88783,315.25,1.77,1.3,2026-06-04,1214,T,73,6.1NRT,290.63,23.35,D
-18.55283,-58.59246,304.5,1.52,1.22,2026-06-04,1217,T,59,6.1NRT,292.86,9.79,D
-8.49093,-51.54122,364.35,1.01,1,2026-06-04,1214,T,100,6.1NRT,297.78,95.9,D
